batch_size,threshold,low_rank_mode,compose_mode,device,before_module_name,before_module_params,before_module_shape,before_latency_mean s,before_latency_std s,before_throughput_mean s,before_throughput_std s,before_model_size_mb,after_module_name,after_module_params,after_S_params,after_Vh_params,after_U_params,after_latency_mean s,after_latency_std s,after_throughput_mean s,after_throughput_std s,after_model_size_mb,after_S_shape,after_Vh_shape,after_U_shape
16,0.1,quantile,two_layers,cuda,Conv2d,32768,"[256, 128, 1, 1]",0.06705920025706291,0.006488740838158247,0.004431599960662424,0.0007905452739008878,0.125,DecomposedConv2d,44544,0,14848,29696,0.11813599951565265,0.007223613013045378,0.0028605000232346358,0.0009563443023588225,0.17,0,"[116, 128, 1, 1]","[256, 116, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,589824,"[256, 256, 3, 3]",0.09368959926068783,0.016918495118289252,0.02319539999589324,0.0006044838558783959,2.25,DecomposedConv2d,593920,0,534528,59392,0.13894879966974258,0.02213688301834823,0.02877879999577999,0.0010043120140476908,2.266,0,"[232, 256, 3, 3]","[256, 232, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,589824,"[256, 256, 3, 3]",0.08800799958407879,0.015812700977586712,0.02174810003489256,0.0007254999913408784,2.25,DecomposedConv2d,593920,0,534528,59392,0.1304224006831646,0.03775052264913787,0.03215730004012585,0.0014387737199265268,2.266,0,"[232, 256, 3, 3]","[256, 232, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,1179648,"[512, 256, 3, 3]",0.12397760041058063,0.04069158506707864,0.023686099983751773,0.0025168372682917626,4.5,DecomposedConv2d,1295360,0,1059840,235520,0.1149583999067545,0.03604166974387491,0.025394899956882,0.0021844510573836655,4.941,0,"[460, 256, 3, 3]","[512, 460, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,2359296,"[512, 512, 3, 3]",0.28617279827594755,0.02890414243315111,0.07741299979388713,0.001372684606849035,9.0,DecomposedConv2d,2355200,0,2119680,235520,0.31002240180969237,0.03689528354389578,0.0918160006403923,0.0015438105689634543,8.984,0,"[460, 512, 3, 3]","[512, 460, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,131072,"[512, 256, 1, 1]",0.0834511997178197,0.029261197518752665,0.009996600029990078,0.002131486764103102,0.5,DecomposedConv2d,178176,0,59392,118784,0.11380480006337165,0.026597692150442234,0.01103300005197525,0.001874270875559486,0.68,0,"[232, 256, 1, 1]","[512, 232, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,2359296,"[512, 512, 3, 3]",0.30692000314593315,0.023080221220348786,0.07623890079557896,0.0014836923308283582,9.0,DecomposedConv2d,2355200,0,2119680,235520,0.3172719970345497,0.030228917935699543,0.09106140062212945,0.0011011494213148316,8.984,0,"[460, 512, 3, 3]","[512, 460, 1, 1]"
16,0.1,quantile,two_layers,cuda,Conv2d,2359296,"[512, 512, 3, 3]",0.3060064010322094,0.022110906510897685,0.07834689989686013,0.0004232849538992416,9.0,DecomposedConv2d,2355200,0,2119680,235520,0.33707199841737745,0.024120953345676394,0.091483199223876,0.0018017496403413234,8.984,0,"[460, 512, 3, 3]","[512, 460, 1, 1]"
16,0.1,quantile,two_layers,cuda,Linear,5130,"[10, 512]",0.015734399924986063,0.010874916711467163,0.0014096999846515245,0.001243325083895994,0.02,DecomposedLinear,5230,0,5120,100,0.027561599854379892,0.005909656983603853,0.0016467000008560718,0.00046344895211933654,0.02,0,"[10, 512]","[10, 10]"
16,0.1,quantile,three_layers,cuda,Conv2d,9408,"[64, 3, 7, 7]",0.026340799778699873,0.005861848657138933,0.002552099997410551,0.0009988414197273942,0.036,DecomposedConv2d,12720,60,8820,3840,0.04536160035058856,0.012610214736311463,0.003189900005236268,0.0005318716220784922,0.049,"[60, 1, 1]","[60, 3, 7, 7]","[64, 60, 1, 1]"
